NatEmis,Official_Institution_Name,CMC,EICircuit,Phase_PED,F,Gr R,Gr 1,Year(s) on the Programme,Matched_GPS_Coordinates,,,Matched_Area
200100187,EBONGWENI PUBLIC PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,48,66,2025,"-33.886755440980835, 25.59309999575871",,,Kwazakhele
200100219,FERNWOOD PARK PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,58,123,2025,"-33.865586264562516, 25.51729915157659",,,Arcadia
200100222,FONTEIN FULL SERVICE SCHOOL,Central,NM Central-1,3. COMBINED,3,44,62,2025,"-33.91248255440561, 25.55543598041534",,,Gqeberha
200100231,FRANK JOUBERT PRIMARY SCHOOL,Algoa,NM Algoa-3,2. PRIMARY,3,64,88,2025,"-33.931833267980586, 25.57207999576115",,,Gqeberha
200100237,G J LOUW PRIMARY SCHOOL,Algoa,NM Algoa-4,2. PRIMARY,3,66,86,2025,"-33.93614746547882, 25.579256909252983",,,Schauderville
200100242,GELVAN PARK PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,35,94,2025,"-33.91973395219421, 25.562314509251856",,,Gelvan Park
200100243,GELVANDALE PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,71,82,2025,"-33.91548655597367, 25.557002224596356",,,Jarman
200100306,HILLCREST PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,66,120,2025,"-33.904150354684646, 25.545199749725448",,,Helenvale
200100318,HOMBAKAZI FULL SERVICE SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,122,133,2025,"-33.819073613547594, 25.392837499329115",,,KwaNobuhle
200100346,J N TULWANA JUNIOR PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,23,15,2025,"-33.80888905573867, 25.382456736146505",,,KwaNobuhle
200100349,JAMES NTUNGWANA PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,71,49,2025,"-33.80323703175231, 25.38086886839183",,,KwaNobuhle
200100356,JOHN MASIZA INTERMEDIATE SCHOOL,Central,NM Central-2,2. PRIMARY,3,101,209,2025,"-33.989313077446766, 25.586355739945233",,,Schoenmakerskop
200100363,JUBILEE PARK PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,106,176,2025,"-33.75463789133433, 25.38035629575144",,,Kariega
200100412,KRONEBERG PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,77,145,2025,"-33.86536659926759, 25.494080624593593",,,Bethelsdorp
200100416,KRUISRIVIER PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,18,19,2025,"-33.765585396949, 25.349260753424282",,,Uitenhage Farms
200100459,LITTLE FLOWER PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,81,81,2025,"-33.7509977526676, 25.40025719575121",,,Kariega
200100465,LOVEMORE PARK PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,15,21,2025,"-34.01394383487223, 25.519879980421006",,,Lovemore Park
200100479,MACHIU PRIMARY SCHOOL,Central,NM Central-3,2. PRIMARY,3,92,117,2025,"-33.889906957107456, 25.52651566506934",,,Bethelsdorp
200100480,MAGQABI PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,63,107,2025,"-33.82420128243968, 25.393825665065805",,,KwaNobuhle
200100485,MALABAR PRIMARY SCHOOL,Central,NM Central-2,2. PRIMARY,3,78,158,2025,"-33.92389316549397, 25.54228853808834",,,Malabar
200100495,MASAKHANE PUBLIC SCHOOL,Central,NM Central-4,2. PRIMARY,3,31,17,2025,"-33.87421543444061, 25.577274582266494",,,KwaZakhele
200100501,SIPHO HASHE COMBINED SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,21,16,2025,"-33.88014270187201, 25.586076209249743",,,Kwazakhele
200100507,MELUMZI PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,71,120,2025,missi,,,Kwa Nobuhle
200100517,MISSIONVALE PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,65,143,2025,"-33.88893653590288, 25.555625826448324",,,Bethelsdorp
200100520,MJULENI JUNIOR PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,24,41,2025,"-33.812747515748256, 25.37578008040983",,,KwaNobuhle
200100522,MNGCUNUBE PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,88,126,2025,"-33.79834962025377, 25.39141913808139",,,KwaNobuhle
200100523,MNQOPHISO PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,14,20,2025,"-33.87321096535536, 25.569311453430284",,,Zwide
200100534,MQHAYI SENIOR PRIMARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,13,11,2025,"-33.8403149,25.5170239",,,KwaDwesi
200100536,MTHONJENI SENIOR PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,19,29,2025,"-33.803159973244114, 25.387779995754038",,,KwaNobuhle
200100545,MZOMTSHA PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,24,17,2025,"-33.86925953185633, 25.58002965343",,,KwaZakhele
200100577,NOKWEZI PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,66,62,2025,"-33.82880939828823, 25.376154438083177",,,KwaNobuhle
200100579,NOMATHAMSANQA PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,83,122,2025,"-33.821623233512696, 25.455011453427442",,,Despatch
